Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1092882,CAT,AMER SH,LOST,IMPOUNDED,STRAY,WEB,,2021-01-06,NORMAL,LOST EXP,2020-02-08
A1104327,DOG,PIT BULL,INJD 006,UNAVAILABLE,TREATMENT,HEART WORM,OTHER,2020-10-03,APP WNL,TREATMENT,2020-10-04
A1096777,DOG,SHIH TZU,LOST,IMPOUNDED,STRAY,WEB,,2020-12-23,NORMAL,LOST EXP,2020-03-26
A1106291,DOG,YORKSHIRE TERR,LOST,IMPOUNDED,STRAY,WEB,,2020-11-18,NORMAL,LOST EXP,2020-09-24
A1108449,DOG,CHIHUAHUA SH,LFSD 08,UNAVAILABLE,OWNER SURRENDER,APPOINT,FINANCIAL,2020-10-05,APP WNL,ADOPTION,2020-10-07
A1108479,CAT,DOMESTIC MH,LFC 005,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2020-10-05,APP INJ,EUTHANIZED,2020-10-06
A1098662,DOG,PIT BULL,PCD 04,LAB,STRAY,CONFINED,OTHRINTAKS,2020-11-19,APP WNL,EUTHANIZED,2020-11-26
A1106707,DOG,GERM SHEPHERD,LFD 021,UNAVAILABLE,OWNER SURRENDER,APPOINT,NOTRIGHTFT,2020-10-01,APP WNL,ADOPTION,2020-10-04
A1105238,CAT,DOMESTIC SH,CC 29,AVAILABLE,TREATMENT,SPAY/NEUT,OTHRINTAKS,2020-10-01,APP WNL,TREATMENT,2020-10-01
A1109990,CAT,DOMESTIC SH,FOSTER,AVAILABLE,FOSTER,RETURN,OTHRINTAKS,2020-11-20,UNKNOWN,FOSTER,2020-11-20
A1105328,CAT,DOMESTIC SH,CC 35,PENDING,FOSTER,RETURN,OTHRINTAKS,2020-10-01,APP WNL,ADOPTION,2020-10-01
A1108446,DOG,CAIRN TERRIER,LFSD 23,UNAVAILABLE,OWNER SURRENDER,ALUMNI,NOTRIGHTFT,2020-10-09,APP WNL,TRANSFER,2020-10-11
A1108766,CAT,DOMESTIC SH,VT 06,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2020-10-10,CRITICAL,EUTHANIZED,2020-10-11
A1105239,CAT,DOMESTIC SH,CC 30,AVAILABLE,TREATMENT,SPAY/NEUT,OTHRINTAKS,2020-10-01,APP WNL,TREATMENT,2020-10-01
A1105707,DOG,GREAT PYRENEES,INJD 008,UNAVAILABLE,TREATMENT,HEART WORM,OTHER,2020-10-01,APP WNL,TREATMENT,2020-10-01
A1109611,DOG,PIT BULL,QD 16,UNAVAILABLE,CONFISCATED,QUARANTINE,OTHRINTAKS,2020-10-28,APP WNL,RETURNED TO OWNER,2020-11-06
A1064837,DOG,PIT BULL,INJD 008,UNAVAILABLE,TREATMENT,HEART WORM,OTHRINTAKS,2021-03-08,APP WNL,TREATMENT,2021-03-09
A1108232,DOG,AUST CATTLE DOG,LFD 024,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2020-10-01,APP WNL,RETURNED TO OWNER,2020-10-01
