Animal Id,Animal Type,Animal Breed,Kennel Number,Kennel Status,Intake Type,Intake Subtype,Reason,Intake Date,Intake Condition,Outcome Type,Outcome Date
A1160997,DOG,CAIRN TERRIER,VT 06,EU RISK,STRAY,CONFINED,OTHRINTAKS,2022-10-28,APP INJ,FOSTER,2022-10-28
A1162231,DOG,MIXED BREED,FREEZER,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-11-13,APP SICK,DIED,2022-11-13
A1160707,DOG,AUST SHEPHERD,LOST,IMPOUNDED,STRAY,WEB,,2022-10-22,NORMAL,LOST EXP,2022-11-24
A1165451,DOG,MIXED BREED,LAB 02,LAB,OWNER SURRENDER,URGENT,OTHER,2022-12-28,APP WNL,EUTHANIZED,2023-01-08
A1161957,DOG,MIXED BREED,AD 068,EU RISK,OWNER SURRENDER,WALK IN,HOUSING,2022-11-28,APP WNL,ADOPTION,2022-12-01
A1163352,DOG,MIXED BREED,DC 02,UNAVAILABLE,OWNER SURRENDER,URGENT,OTHRINTAKS,2022-11-28,APP WNL,ADOPTION,2022-12-02
A1163936,CAT,DOMESTIC SH,AC 003,AVAILABLE,OWNER SURRENDER,APPOINT,PERSNLISSU,2022-12-06,APP WNL,ADOPTION,2022-12-09
A1164410,DOG,MIXED BREED,DC 11,UNAVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-12-13,APP WNL,ADOPTION,2022-12-15
A1165648,DOG,MIXED BREED,LAB 16,LAB,OWNER SURRENDER,APPOINT,BEHAVIOR,2022-12-30,APP WNL,EUTHANIZED,2023-01-11
A1163520,DOG,MIXED BREED,LFSD 10,AVAILABLE,STRAY,AT LARGE,OTHRINTAKS,2022-11-30,APP WNL,FOSTER,2022-12-17
A1172391,DOG,WEST HIGHLAND,FOUND,IMPOUNDED,STRAY,WEB,,2023-03-23,NORMAL,OTHER,2000-01-01
A1162532,DOG,LABRADOR RETR,LFD 130,IMPOUNDED,STRAY,AT LARGE,OTHER,2022-11-17,APP WNL,RETURNED TO OWNER,2022-11-22
A1159004,DOG,ALASKAN HUSKY,DC 07,IMPOUNDED,STRAY,CONFINED,OTHRINTAKS,2022-10-01,APP WNL,RETURNED TO OWNER,2022-10-03
A1159610,CAT,DOMESTIC SH,CC 33,AVAILABLE,TREATMENT,SPAY/NEUT,OTHER,2022-11-21,APP WNL,TREATMENT,2022-11-21
